drwxr-xr-x 17 root     sys              0 Apr 30  1984 .
-rwxrwxr-x  1 2        kmem         18934 Apr 30  1984 bin/newform
-rwxrwxr-x  1 2        kmem         18094 Apr 30  1984 bin/news
-rwxrwxr-x  1 2        kmem         17282 Apr 30  1984 bin/nl
-rwxrwxr-x  1 2        kmem         68846 Apr 30  1984 bin/nroff
-rwxrwxr-x  1 2        kmem            46 Apr 30  1984 bin/osdd
-rwxrwxr-x  1 2        kmem         14092 Apr 30  1984 bin/pack
-rwxrwxr-x  1 2        kmem          6718 Apr 30  1984 bin/paste
-rwxrwxr-x  2 2        kmem         13158 Apr 30  1984 bin/pcat
-rwxrwxr-x  1 2        kmem         21040 Apr 30  1984 bin/prof
-rwxrwxr-x  1 2        kmem         36876 Apr 30  1984 bin/prs
-rwxrwxr-x  1 2        kmem         16924 Apr 30  1984 bin/ptx
-rwxrwxr-x  1 2        kmem         25460 Apr 30  1984 bin/ratfor
-rwxrwxr-x  1 2        kmem         14322 Apr 30  1984 bin/regcmp
-rwxrwxr-x  2 2        kmem         41948 Apr 30  1984 bin/rmdel == bin/cdc
-rwxrwxr-x  2 2        kmem         27526 Apr 30  1984 bin/sact
-rwxrwsr-x  1 2        sys          23658 Apr 30  1984 bin/sadp
-rwxrwxr-x  1 2        kmem         37966 Apr 30  1984 bin/sar
-rwxrwxr-x  1 2        kmem           358 Apr 30  1984 bin/scc
-rwxrwxr-x  1 2        kmem          1225 Apr 30  1984 bin/sccsdiff
-rwxrwxr-x  1 2        kmem         90006 Apr 30  1984 bin/sdb
-rwxrwxr-x  1 2        kmem         18210 Apr 30  1984 bin/sdiff
-rwxrwxr-x  1 2        kmem         16096 Apr 30  1984 bin/sno
-rwxrwxr-x  1 2        kmem          1222 Apr 30  1984 bin/spell
-rwxrwxr-x  1 2        kmem         18920 Apr 30  1984 bin/spline
-rwxrwxr-x  1 2        kmem         12090 Apr 30  1984 bin/split
-rwxrwxr-x  1 2        kmem         18750 Apr 30  1984 bin/strings
-rwxrwxr-x  1 2        kmem          5028 Apr 30  1984 bin/tabs
-rwxrwxr-x  1 2        kmem         27780 Apr 30  1984 bin/tar
-rwxrwxr-x  1 2        kmem         49344 Apr 30  1984 bin/tbl
-rwxrwxr-x  1 2        kmem         18766 Apr 30  1984 bin/tc
-rwxrwsr-x  1 2        sys          25954 Apr 30  1984 bin/timex
-rwxrwxr-x  1 2        kmem          5194 Apr 30  1984 bin/tr
-rwxrwxr-x  1 2        kmem         72890 Apr 30  1984 bin/troff
-rwxrwxr-x  1 2        kmem         16190 Apr 30  1984 bin/tsort
-rwxrwxr-x  2 2        kmem         27526 Apr 30  1984 bin/unget == bin/sact
-rwxrwxr-x  1 2        kmem         12634 Apr 30  1984 bin/uniq
-rwxrwxr-x  1 2        kmem         14872 Apr 30  1984 bin/units
-rwxrwxr-x  2 2        kmem         13158 Apr 30  1984 bin/unpack == bin/pcat
---s--x--x  1 5        kmem         41146 Apr 30  1984 bin/uucp
---s--x--x  1 5        kmem         25480 Apr 30  1984 bin/uulog
---s--x--x  1 5        kmem         19014 Apr 30  1984 bin/uuname
-rwxrwxr-x  1 2        kmem          1596 Apr 30  1984 bin/uupick
---s--x--x  1 5        kmem         40700 Apr 30  1984 bin/uustat
-rwxrwxr-x  1 2        kmem           959 Apr 30  1984 bin/uuto
---s--x--x  1 5        kmem         42126 Apr 30  1984 bin/uux
-rwxrwxr-x  1 2        kmem         17626 Apr 30  1984 bin/val
-rwxrwxr-x  1 2        kmem         18476 Apr 30  1984 bin/vc
-rwxrwxr-x  4 2        kmem        118394 Apr 30  1984 bin/vi == bin/edit
-rwxrwxr-x  4 2        kmem        118394 Apr 30  1984 bin/view == bin/edit
-rwxrwxr-x  1 2        kmem         17094 Apr 30  1984 bin/vpr
-rwxrwxr-x  1 2        kmem         11866 Apr 30  1984 bin/what
-rwxrwxr-x  1 2        kmem         15076 Apr 30  1984 bin/xargs
-rwxrwxr-x  1 2        kmem         39962 Apr 30  1984 bin/yacc
drwxrwxr-x  3 2        kmem             0 Apr 30  1984 docs
drwxrwxr-x  2 root     sys              0 Apr 30  1984 docs/errmanual
-rw-rw-r--  1 2        kmem          4881 Apr 30  1984 docs/errmanual/errintro
-rw-rw-r--  1 2        kmem          1715 Apr 30  1984 docs/errmanual/errmacs
-rw-rw-r--  1 2        kmem           287 Apr 30  1984 docs/errmanual/errmanprint
-rw-rw-r--  1 2        kmem          6989 Apr 30  1984 docs/errmanual/errmess1
-rw-rw-r--  1 2        kmem         16158 Apr 30  1984 docs/errmanual/errmess2
-rw-rw-r--  1 2        kmem          5362 Apr 30  1984 docs/errmanual/errmess3
-rw-rw-r--  1 2        kmem          2064 Apr 30  1984 docs/errmanual/errtitle
-rw-rw-r--  1 2        kmem           269 Apr 30  1984 docs/errmanual/introprint
-rw-rw-r--  1 2        kmem           289 Apr 30  1984 docs/errmanual/runit.sh
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 games
drwxrwxr-x  3 2        kmem             0 Apr 30  1984 include
-rw-rw-r--  1 2        kmem          7878 Apr 30  1984 include/a.out.h
-rw-rw-r--  1 2        kmem           983 Apr 30  1984 include/alarm.h
-rw-rw-r--  1 2        kmem           540 Apr 30  1984 include/aouthdr.h
-rw-rw-r--  1 2        kmem          3677 Apr 30  1984 include/ar.h
-rw-rw-r--  1 2        kmem           161 Apr 30  1984 include/assert.h
-rw-rw-r--  1 2        kmem           714 Apr 30  1984 include/core.h
-rw-rw-r--  1 2        kmem           807 Apr 30  1984 include/ctype.h
-rw-rw-r--  1 2        kmem          1280 Apr 30  1984 include/dial.h
-rw-rw-r--  1 2        kmem           564 Apr 30  1984 include/dumprestor.h
-rw-rw-r--  1 2        kmem           107 Apr 30  1984 include/errno.h
-rw-rw-r--  1 2        kmem           388 Apr 30  1984 include/execargs.h
-rw-rw-r--  1 2        kmem           427 Apr 30  1984 include/fatal.h
-rw-rw-r--  1 2        kmem           743 Apr 30  1984 include/fcntl.h
-rw-rw-r--  1 2        kmem          2477 Apr 30  1984 include/filehdr.h
-rw-rw-r--  1 2        kmem           306 Apr 30  1984 include/ftw.h
-rw-rw-r--  1 2        kmem           144 Apr 30  1984 include/grp.h
-rw-rw-r--  1 2        kmem          2748 Apr 30  1984 include/ldfcn.h
-rw-rw-r--  1 2        kmem           633 Apr 30  1984 include/linenum.h
-rw-rw-r--  1 2        kmem          2208 Apr 30  1984 include/macros.h
-rw-rw-r--  1 2        kmem          3041 Apr 30  1984 include/math.h
-rw-rw-r--  1 2        kmem            85 Apr 30  1984 include/memory.h
-rw-rw-r--  1 2        kmem           232 Apr 30  1984 include/mnttab.h
-rw-rw-r--  1 2        kmem           270 Apr 30  1984 include/mon.h
-rw-rw-r--  1 2        kmem           340 Apr 30  1984 include/nan.h
