drwxr-xr-x 17 root     sys              0 Apr 30  1984 .
-rw-rw-r--  1 2        kmem         79230 Apr 30  1984 lib/libF77.a
-rw-rw-r--  1 2        kmem         76606 Apr 30  1984 lib/libI77.a
-rw-rw-r--  1 2        kmem           382 Apr 30  1984 lib/libg.a
-rw-rw-rw-  1 2        kmem          4448 Apr 30  1984 lib/libl.a
-rw-rw-r--  1 2        kmem         19956 Apr 30  1984 lib/libld.a
-rw-r--r--  2 2        kmem          5526 Apr 30  1984 lib/libtermcap.a
-rw-r--r--  2 2        kmem          5526 Apr 30  1984 lib/libtermlib.a == lib/libtermcap.a
-rw-rw-rw-  1 2        kmem          1110 Apr 30  1984 lib/liby.a
-rwxrwxr-x  1 2        kmem         83716 Apr 30  1984 lib/lint1
-rwxrwxr-x  1 2        kmem         24262 Apr 30  1984 lib/lint2
-rwxrwxr-x  1 2        kmem         13822 Apr 30  1984 lib/llib-lc
-rwxrwxr-x  1 2        kmem          1469 Apr 30  1984 lib/llib-lm
-rwxrwxr-x  1 2        kmem          6474 Apr 30  1984 lib/llib-port
-rwsrwsr-x  1 root     kmem         30574 Apr 30  1984 lib/lpadmin
-rwsrwxr-x  1 daemon   kmem         21262 Apr 30  1984 lib/lpd
-rwxrwxr-x  1 2        kmem         14718 Apr 30  1984 lib/lpfx
-rwsrwsr-x  1 _eppc    kmem         21564 Apr 30  1984 lib/lpmove
-rwsrwsr-x  1 root     kmem         37706 Apr 30  1984 lib/lpsched
-rwsrwsr-x  1 _eppc    kmem         14126 Apr 30  1984 lib/lpshut
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/macros
-rw-r--r--  1 2        kmem          5717 Apr 30  1984 lib/macros/O.an
-rw-r--r--  1 2        kmem         39282 Apr 30  1984 lib/macros/O.mmt
-rw-r--r--  1 2        kmem         39288 Apr 30  1984 lib/macros/S.mmt
-rw-r--r--  1 2        kmem          5706 Apr 30  1984 lib/macros/an
-rw-r--r--  1 2        kmem         10084 Apr 30  1984 lib/macros/cmp.n.d.an
-rw-r--r--  1 2        kmem         10084 Apr 30  1984 lib/macros/cmp.n.d.m
-rw-r--r--  1 2        kmem         43974 Apr 30  1984 lib/macros/cmp.n.t.an
-rw-r--r--  1 2        kmem        119270 Apr 30  1984 lib/macros/cmp.n.t.m
-rw-r--r--  1 2        kmem         10084 Apr 30  1984 lib/macros/cmp.t.d.an
-rw-r--r--  1 2        kmem         10084 Apr 30  1984 lib/macros/cmp.t.d.m
-rw-r--r--  1 2        kmem         44278 Apr 30  1984 lib/macros/cmp.t.t.an
-rw-r--r--  1 2        kmem        120100 Apr 30  1984 lib/macros/cmp.t.t.m
-rw-r--r--  1 2        kmem         38778 Apr 30  1984 lib/macros/mmn
-rw-r--r--  1 2        kmem         39275 Apr 30  1984 lib/macros/mmt
-rw-r--r--  1 2        kmem          2253 Apr 30  1984 lib/macros/osdd
-rw-r--r--  1 2        kmem           331 Apr 30  1984 lib/macros/ptx
-rw-r--r--  1 2        kmem          1052 Apr 30  1984 lib/macros/ucmp.n.an
-rw-r--r--  1 2        kmem          1225 Apr 30  1984 lib/macros/ucmp.n.m
-rw-r--r--  1 2        kmem          1052 Apr 30  1984 lib/macros/ucmp.t.an
-rw-r--r--  1 2        kmem          1029 Apr 30  1984 lib/macros/ucmp.t.m
-rw-r--r--  1 2        kmem          7898 Apr 30  1984 lib/macros/vmca
-rwxrwxr-x  1 2        kmem          2946 Apr 30  1984 lib/makekey
-rwxrwxr-x  1 2        kmem         12188 Apr 30  1984 lib/manprog
-rwxrwxr-x  1 2        kmem         14565 Apr 30  1984 lib/nmf
-rwxrwxr-x  1 2        kmem         12236 Apr 30  1984 lib/pprx
-rwxrwxr-x  1 2        kmem         12522 Apr 30  1984 lib/prx
-rwsrwsr-x  1 _eppc    kmem         17664 Apr 30  1984 lib/reject
drwxrwxr-x  2 _uucp    kmem             0 Apr 30  1984 lib/sa
-rwxrwxr-x  1 2        kmem           185 Apr 30  1984 lib/sa/sa1
-rwxrwxr-x  1 2        kmem           240 Apr 30  1984 lib/sa/sa2
-rwxrwsr-x  1 2        sys           7070 Apr 30  1984 lib/sa/sadc
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/spell
-rwxrwxr-x  1 2        kmem           304 Apr 30  1984 lib/spell/compress
-rwxrwxr-x  1 2        kmem         13176 Apr 30  1984 lib/spell/hashcheck
-rwxrwxr-x  1 2        kmem         11224 Apr 30  1984 lib/spell/hashmake
-rwxrwxr-x  1 2        kmem         17578 Apr 30  1984 lib/spell/spellin
-rwxrwxr-x  1 2        kmem         20626 Apr 30  1984 lib/spell/spellprog
-rw-r--r--  1 2        kmem         53872 Apr 30  1984 lib/spell/hlista
-rw-r--r--  1 2        kmem         53840 Apr 30  1984 lib/spell/hlistb
-rw-r--r--  1 2        kmem          6328 Apr 30  1984 lib/spell/hstop
-rw-rw-rw-  1 2        kmem             0 Apr 30  1984 lib/spell/spellhist
-rw-r--r--  1 2        kmem          2236 Apr 30  1984 lib/suftab
drwxr-xr-x  2 2        kmem             0 Apr 30  1984 lib/tabset
-rw-r--r--  1 2        kmem            93 Apr 30  1984 lib/tabset/3101
-rw-r--r--  1 2        kmem           164 Apr 30  1984 lib/tabset/beehive
-rw-r--r--  1 2        kmem            88 Apr 30  1984 lib/tabset/diablo
-rw-r--r--  1 2        kmem           135 Apr 30  1984 lib/tabset/std
-rw-r--r--  1 2        kmem            57 Apr 30  1984 lib/tabset/teleray
-rw-r--r--  1 2        kmem           159 Apr 30  1984 lib/tabset/vt100
-rw-r--r--  1 2        kmem           164 Apr 30  1984 lib/tabset/xerox1720
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/term
-rw-r--r--  1 2        kmem          1463 Apr 30  1984 lib/term/tab2631
-rw-r--r--  1 2        kmem          1471 Apr 30  1984 lib/term/tab2631-c
-rw-r--r--  1 2        kmem          1471 Apr 30  1984 lib/term/tab2631-e
-rw-r--r--  1 2        kmem          1778 Apr 30  1984 lib/term/tab300
-rw-r--r--  1 2        kmem          1776 Apr 30  1984 lib/term/tab300-12
-rw-r--r--  2 2        kmem          1771 Apr 30  1984 lib/term/tab300S
-rw-r--r--  2 2        kmem          1765 Apr 30  1984 lib/term/tab300S-12
-rw-r--r--  2 2        kmem          1771 Apr 30  1984 lib/term/tab300s == lib/term/tab300S
-rw-r--r--  2 2        kmem          1765 Apr 30  1984 lib/term/tab300s-12 == lib/term/tab300S-12
-rw-r--r--  1 2        kmem          1624 Apr 30  1984 lib/term/tab37
-rw-r--r--  1 2        kmem          1777 Apr 30  1984 lib/term/tab382
-rw-r--r--  2 2        kmem          1807 Apr 30  1984 lib/term/tab4000A
-rw-r--r--  2 2        kmem          1807 Apr 30  1984 lib/term/tab4000a == lib/term/tab4000A
-rw-r--r--  1 2        kmem          1772 Apr 30  1984 lib/term/tab450
-rw-r--r--  1 2        kmem          1784 Apr 30  1984 lib/term/tab450-12
-rw-r--r--  1 2        kmem          1774 Apr 30  1984 lib/term/tab832
-rw-r--r--  1 2        kmem          1734 Apr 30  1984 lib/term/tabX
-rw-r--r--  1 2        kmem          1774 Apr 30  1984 lib/term/taba1
-rw-r--r--  1 2        kmem          1463 Apr 30  1984 lib/term/tablp
-rw-r--r--  1 2        kmem          1450 Apr 30  1984 lib/term/tabtn300
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/tmac
-rw-r--r--  1 2        kmem            44 Apr 30  1984 lib/tmac/tmac.an
-rw-r--r--  1 2        kmem            80 Apr 30  1984 lib/tmac/tmac.m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 lib/tmac/tmac.osd
-rw-r--r--  1 2        kmem            46 Apr 30  1984 lib/tmac/tmac.ptx
-rw-r--r--  1 2        kmem            45 Apr 30  1984 lib/tmac/tmac.v
-rw-rw-r--  1 2        kmem          7700 Apr 30  1984 lib/unittab
drwxr-xr-x  4 5        kmem             0 Apr 30  1984 lib/uucp
drwxrwxr-x  2 5        kmem             0 Apr 30  1984 lib/uucp/.OLD
drwxrwxrwx  2 5        kmem             0 Apr 30  1984 lib/uucp/.XQTDIR
-rw-rw-r--  1 5        kmem             0 Apr 30  1984 lib/uucp/ADMIN
-r--r--r--  1 5        kmem            40 Apr 30  1984 lib/uucp/L-devices
-r--r--r--  1 5        kmem            24 Apr 30  1984 lib/uucp/L-dialcodes
-r--r--r--  1 5        kmem            26 Apr 30  1984 lib/uucp/L.cmds
-r--------  1 5        kmem            82 Apr 30  1984 lib/uucp/L.sys
-rw-rw-r--  1 5        kmem             0 Apr 30  1984 lib/uucp/L_stat
-rw-rw-r--  1 5        kmem             0 Apr 30  1984 lib/uucp/L_sub
-rw-rw-r--  1 5        kmem             0 Apr 30  1984 lib/uucp/R_stat
-rw-rw-r--  1 5        kmem             0 Apr 30  1984 lib/uucp/R_sub
-rw-rw-rw-  1 5        kmem             4 Apr 30  1984 lib/uucp/SEQF
-r--------  1 5        kmem            55 Apr 30  1984 lib/uucp/USERFILE
---s--x--x  1 5        kmem         83730 Apr 30  1984 lib/uucp/uucico
---s--x--x  1 5        kmem         35320 Apr 30  1984 lib/uucp/uuclean
-rwxr-xr-x  1 5        kmem           395 Apr 30  1984 lib/uucp/uudemon.day
-rwxr-xr-x  1 5        kmem           135 Apr 30  1984 lib/uucp/uudemon.hr
-rwxr-xr-x  1 5        kmem           285 Apr 30  1984 lib/uucp/uudemon.wk
---x------  1 5        kmem         26988 Apr 30  1984 lib/uucp/uusub
---s--x--x  1 5        kmem         40062 Apr 30  1984 lib/uucp/uuxqt
-rwxrwxr-x  1 2        kmem         17996 Apr 30  1984 lib/vpd
-rwxrwxr-x  1 2        kmem         16794 Apr 30  1984 lib/vpd.pr
-rwxrwxr-x  1 2        kmem         33883 Apr 30  1984 lib/xcpp
-rwxrwxr-x  1 2        kmem         78955 Apr 30  1984 lib/xpass
-rw-r--r--  1 2        kmem          9043 Apr 30  1984 lib/yaccpar
-rwxrwxr-x  1 2        kmem         12450 Apr 30  1984 lib/llib-lc.ln
-rwxrwxr-x  1 2        kmem          6356 Apr 30  1984 lib/llib-port.ln
-rwxrwxr-x  1 2        kmem          1580 Apr 30  1984 lib/llib-lm.ln
drwxrwxrwx  2 2        kmem             0 Apr 30  1984 lost+found
drwxrwxr-x  2 root     mail             0 Apr 30  1984 mail
drwxrwxr-x  8 2        kmem             0 Apr 30  1984 man
-rw-r--r--  1 2        kmem          3136 Apr 30  1984 man/READ.ME
drwxrwxr-x  6 2        kmem             0 Apr 30  1984 man/a_man
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/a_man/man0
-rw-rw-r--  1 2        kmem          7000 Apr 30  1984 man/a_man/man0/intro
-rw-rw-r--  1 2        kmem          1663 Apr 30  1984 man/a_man/man0/ptxin
-rw-rw-r--  1 2        kmem        233435 Apr 30  1984 man/a_man/man0/ptxx
-rw-rw-r--  1 2        kmem           184 Apr 30  1984 man/a_man/man0/skeleton
-rw-rw-r--  1 2        kmem         10436 Apr 30  1984 man/a_man/man0/toc1
-rw-rw-r--  1 2        kmem          2468 Apr 30  1984 man/a_man/man0/toc7
-rw-rw-r--  1 2        kmem          1072 Apr 30  1984 man/a_man/man0/toc8
-rw-rw-r--  1 2        kmem          1687 Apr 30  1984 man/a_man/man0/tocin
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/a_man/man1
-rw-rw-r--  1 2        kmem          1239 Apr 30  1984 man/a_man/man1/accept.1m
-rw-rw-r--  1 2        kmem          3295 Apr 30  1984 man/a_man/man1/acct.1m
-rw-rw-r--  1 2        kmem          1543 Apr 30  1984 man/a_man/man1/acctcms.1m
-rw-rw-r--  1 2        kmem          2670 Apr 30  1984 man/a_man/man1/acctcon.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/acctcon1.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/acctcon2.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/acctdisk.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/acctdusg.1m
-rw-rw-r--  1 2        kmem          1307 Apr 30  1984 man/a_man/man1/acctmerg.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/accton.1m
-rw-rw-r--  1 2        kmem          1639 Apr 30  1984 man/a_man/man1/acctprc.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/acctprc1.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/acctprc2.1m
-rw-rw-r--  1 2        kmem          5014 Apr 30  1984 man/a_man/man1/acctsh.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/acctwtmp.1m
-rw-r--r--  1 2        kmem            43 Apr 30  1984 man/a_man/man1/bcheckrc.1m
-rw-rw-r--  1 2        kmem           902 Apr 30  1984 man/a_man/man1/bcopy.1m
-rw-rw-r--  1 2        kmem          1376 Apr 30  1984 man/a_man/man1/brc.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/chargefee.1m
-rw-rw-r--  1 2        kmem          2058 Apr 30  1984 man/a_man/man1/checkall.1m
-rw-rw-r--  1 2        kmem           909 Apr 30  1984 man/a_man/man1/chroot.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/ckpacct.1m
-rw-rw-r--  1 2        kmem          1287 Apr 30  1984 man/a_man/man1/clri.1m
-rw-rw-r--  1 2        kmem         12627 Apr 30  1984 man/a_man/man1/config.68.1m
-rw-rw-r--  1 2        kmem          6645 Apr 30  1984 man/a_man/man1/crash.1m
-rw-rw-r--  1 2        kmem          1956 Apr 30  1984 man/a_man/man1/cron.1m
-rw-rw-r--  1 2        kmem          1902 Apr 30  1984 man/a_man/man1/dcopy.1m
-rw-rw-r--  1 2        kmem           803 Apr 30  1984 man/a_man/man1/devnm.1m
-rw-rw-r--  1 2        kmem           867 Apr 30  1984 man/a_man/man1/df.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/dfsck.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/dodisk.1m
-rw-rw-r--  1 2        kmem          1079 Apr 30  1984 man/a_man/man1/errdead.1m
-rw-rw-r--  1 2        kmem          1086 Apr 30  1984 man/a_man/man1/errdemon.1m
-rw-rw-r--  1 2        kmem          2982 Apr 30  1984 man/a_man/man1/errpt.1m
-rw-rw-r--  1 2        kmem           671 Apr 30  1984 man/a_man/man1/errstop.1m
-rw-rw-r--  1 2        kmem          2648 Apr 30  1984 man/a_man/man1/ff.1m
-rw-rw-r--  1 2        kmem           637 Apr 30  1984 man/a_man/man1/filesave.1m
-rw-rw-r--  1 2        kmem          1612 Apr 30  1984 man/a_man/man1/finc.1m
-rw-rw-r--  1 2        kmem          1680 Apr 30  1984 man/a_man/man1/frec.1m
-rw-rw-r--  1 2        kmem           838 Apr 30  1984 man/a_man/man1/fsba.1m
-rw-rw-r--  1 2        kmem          6792 Apr 30  1984 man/a_man/man1/fsck.1m
-rw-rw-r--  1 2        kmem          2650 Apr 30  1984 man/a_man/man1/fscv.1m
-rw-rw-r--  1 2        kmem          5892 Apr 30  1984 man/a_man/man1/fsdb.1m
-rw-rw-r--  1 2        kmem          1887 Apr 30  1984 man/a_man/man1/fuser.1m
-rw-rw-r--  1 2        kmem          2134 Apr 30  1984 man/a_man/man1/fwtmp.1m
-rw-rw-r--  1 2        kmem          4558 Apr 30  1984 man/a_man/man1/getty.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/grpck.1m
-rw-rw-r--  1 2        kmem          8308 Apr 30  1984 man/a_man/man1/init.1m
-rw-rw-r--  1 2        kmem          2988 Apr 30  1984 man/a_man/man1/install.1m
-rw-rw-r--  1 2        kmem          2076 Apr 30  1984 man/a_man/man1/intro.1m
-rw-rw-r--  1 2        kmem           674 Apr 30  1984 man/a_man/man1/killall.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/labelit.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/lastlogin.1m
-rw-rw-r--  1 2        kmem           366 Apr 30  1984 man/a_man/man1/link.1m
-rw-rw-r--  1 2        kmem          5891 Apr 30  1984 man/a_man/man1/lpadmin.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/lpmove.1m
-rw-rw-r--  1 2        kmem          1449 Apr 30  1984 man/a_man/man1/lpsched.1m
-rw-r--r--  1 2        kmem            47 Apr 30  1984 man/a_man/man1/lpshut.1m
-rw-rw-r--  1 2        kmem          3612 Apr 30  1984 man/a_man/man1/mkfs.1m
-rw-rw-r--  1 2        kmem           872 Apr 30  1984 man/a_man/man1/mknod.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/monacct.1m
-rw-rw-r--  1 2        kmem          1395 Apr 30  1984 man/a_man/man1/mount.1m
-rw-rw-r--  1 2        kmem           407 Apr 30  1984 man/a_man/man1/mvdir.1m
-rw-rw-r--  1 2        kmem           928 Apr 30  1984 man/a_man/man1/ncheck.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/nulladm.1m
-rw-r--r--  1 2        kmem            43 Apr 30  1984 man/a_man/man1/powerfail.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/prctmp.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/prdaily.1m
-rw-r--r--  1 2        kmem            48 Apr 30  1984 man/a_man/man1/prfdc.1m
-rw-r--r--  1 2        kmem            48 Apr 30  1984 man/a_man/man1/prfld.1m
-rw-r--r--  1 2        kmem            48 Apr 30  1984 man/a_man/man1/prfpr.1m
-rw-r--r--  1 2        kmem            48 Apr 30  1984 man/a_man/man1/prfsnap.1m
-rw-r--r--  1 2        kmem            48 Apr 30  1984 man/a_man/man1/prfstat.1m
-rw-rw-r--  1 2        kmem          1688 Apr 30  1984 man/a_man/man1/profiler.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/prtacct.1m
-rw-rw-r--  1 2        kmem          1035 Apr 30  1984 man/a_man/man1/pwck.1m
-rw-r--r--  1 2        kmem            43 Apr 30  1984 man/a_man/man1/rc.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/reject.1m
-rw-rw-r--  1 2        kmem          4495 Apr 30  1984 man/a_man/man1/runacct.1m
-rw-r--r--  1 2        kmem            43 Apr 30  1984 man/a_man/man1/sa1.1m
-rw-r--r--  1 2        kmem            43 Apr 30  1984 man/a_man/man1/sa2.1m
-rw-r--r--  1 2        kmem            43 Apr 30  1984 man/a_man/man1/sadc.1m
-rw-rw-r--  1 2        kmem          3890 Apr 30  1984 man/a_man/man1/sar.1m
-rw-rw-r--  1 2        kmem           828 Apr 30  1984 man/a_man/man1/setmnt.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/shutacct.1m
-rw-rw-r--  1 2        kmem          1268 Apr 30  1984 man/a_man/man1/shutdown.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/startup.1m
-rw-rw-r--  1 2        kmem           857 Apr 30  1984 man/a_man/man1/sysdef.1m
-rw-r--r--  1 2        kmem            48 Apr 30  1984 man/a_man/man1/tapesave.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/telinit.1m
-rw-r--r--  1 2        kmem            46 Apr 30  1984 man/a_man/man1/turnacct.1m
-rw-r--r--  1 2        kmem            45 Apr 30  1984 man/a_man/man1/umount.1m
-rw-r--r--  1 2        kmem            44 Apr 30  1984 man/a_man/man1/unlink.1m
-rw-rw-r--  1 2        kmem          1529 Apr 30  1984 man/a_man/man1/uuclean.1m
-rw-rw-r--  1 2        kmem          2210 Apr 30  1984 man/a_man/man1/uusub.1m
-rw-rw-r--  1 2        kmem          2417 Apr 30  1984 man/a_man/man1/volcopy.1m
-rw-rw-r--  1 2        kmem           622 Apr 30  1984 man/a_man/man1/wall.1m
-rw-rw-r--  1 2        kmem           246 Apr 30  1984 man/a_man/man1/whodo.1m
-rw-r--r--  1 2        kmem            45 Apr 30  1984 man/a_man/man1/wtmpfix.1m
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/a_man/man7
-rw-rw-r--  1 2        kmem           658 Apr 30  1984 man/a_man/man7/acia.7
-rw-rw-r--  1 2        kmem          1658 Apr 30  1984 man/a_man/man7/cm16.7
-rw-rw-r--  1 2        kmem          1670 Apr 30  1984 man/a_man/man7/cm80.7
-rw-rw-r--  1 2        kmem           410 Apr 30  1984 man/a_man/man7/dk.7
-rw-rw-r--  1 2        kmem           503 Apr 30  1984 man/a_man/man7/err.7
-rw-rw-r--  1 2        kmem          1718 Apr 30  1984 man/a_man/man7/fl8.7
-rw-rw-r--  1 2        kmem           642 Apr 30  1984 man/a_man/man7/intro.7
-rw-rw-r--  1 2        kmem          1837 Apr 30  1984 man/a_man/man7/lp.7
-rw-rw-r--  1 2        kmem          1659 Apr 30  1984 man/a_man/man7/lrk25.7
-rw-rw-r--  1 2        kmem           763 Apr 30  1984 man/a_man/man7/mem.7
-rw-rw-r--  1 2        kmem           208 Apr 30  1984 man/a_man/man7/null.7
-rw-rw-r--  1 2        kmem           755 Apr 30  1984 man/a_man/man7/prf.7
-rw-rw-r--  1 2        kmem         20219 Apr 30  1984 man/a_man/man7/termio.7
-rw-rw-r--  1 2        kmem           480 Apr 30  1984 man/a_man/man7/tty.7
-rw-rw-r--  1 2        kmem           730 Apr 30  1984 man/a_man/man7/ud.7
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/a_man/man8
-rw-rw-r--  1 2        kmem          2812 Apr 30  1984 man/a_man/man8/bo.8
-rw-rw-r--  1 2        kmem          5564 Apr 30  1984 man/a_man/man8/crash.m68.8
-rw-rw-r--  1 2        kmem           335 Apr 30  1984 man/a_man/man8/intro.8
-rw-rw-r--  1 2        kmem          7156 Apr 30  1984 man/a_man/man8/m68kops.8
-rw-rw-r--  1 2        kmem          5887 Apr 30  1984 man/a_man/man8/mk.8
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/altmp
drwxrwxr-x 11 2        kmem             0 Apr 30  1984 man/local
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man0
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man1
-rw-rw-r--  1 2        kmem          1296 Apr 30  1984 man/local/man1/dfcvers.1m
-rw-rw-r--  1 2        kmem          1249 Apr 30  1984 man/local/man1/dskfmt.1m
-rw-rw-r--  1 2        kmem         10662 Apr 30  1984 man/local/man1/ex.1
-rw-rw-r--  1 2        kmem           889 Apr 30  1984 man/local/man1/fsba.1m
-rw-rw-r--  1 2        kmem          1751 Apr 30  1984 man/local/man1/pcldaemon.1c
-rw-rw-r--  1 2        kmem          1463 Apr 30  1984 man/local/man1/psel.1m
-rw-rw-r--  1 2        kmem          8738 Apr 30  1984 man/local/man1/vi.1
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man2
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man3
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man4
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man5
-rw-rw-r--  1 2        kmem         25401 Apr 30  1984 man/local/man5/termcap.5
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man6
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man7
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/local/man8
-rw-rw-r--  1 2        kmem          1178 Apr 30  1984 man/local/man8/pcltest.8
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/tmp
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/tools
-rw-rw-r--  1 2        kmem           856 Apr 30  1984 man/tools/M.tabs
-rw-rw-r--  1 2        kmem          1126 Apr 30  1984 man/tools/O..param
-rw-rw-r--  1 2        kmem           806 Apr 30  1984 man/tools/O.alltoc.mk
-rw-rw-r--  1 2        kmem          8614 Apr 30  1984 man/tools/TOOLKIT
-rw-rw-r--  1 2        kmem           408 Apr 30  1984 man/tools/admin.manual
-rw-rw-r--  1 2        kmem           863 Apr 30  1984 man/tools/alltoc.mk
-rw-rw-r--  1 2        kmem          1576 Apr 30  1984 man/tools/alruncks
-rw-rw-r--  1 2        kmem             6 Apr 30  1984 man/tools/break
-rw-rw-r--  1 2        kmem          1177 Apr 30  1984 man/tools/ckcmds
-rw-rw-r--  1 2        kmem          1432 Apr 30  1984 man/tools/ckcrefs
-rw-rw-r--  1 2        kmem           997 Apr 30  1984 man/tools/ckfrefs
-rw-rw-r--  1 2        kmem          1521 Apr 30  1984 man/tools/cknames
-rw-rw-r--  1 2        kmem          1597 Apr 30  1984 man/tools/cksh.c
-rw-rw-r--  1 2        kmem           926 Apr 30  1984 man/tools/ckso
-rw-rw-r--  1 2        kmem           441 Apr 30  1984 man/tools/ckspell
-rw-rw-r--  1 2        kmem           315 Apr 30  1984 man/tools/cleanup
-rw-rw-r--  1 2        kmem           163 Apr 30  1984 man/tools/compare
-rw-rw-r--  1 2        kmem           510 Apr 30  1984 man/tools/delta.manual
-rw-rw-r--  1 2        kmem           705 Apr 30  1984 man/tools/errman.folio
-rw-rw-r--  1 2        kmem           492 Apr 30  1984 man/tools/find.funny
-rw-rw-r--  1 2        kmem          4809 Apr 30  1984 man/tools/folio.mk
-rw-rw-r--  1 2        kmem          2352 Apr 30  1984 man/tools/funny.c
-rw-rw-r--  1 2        kmem          1547 Apr 30  1984 man/tools/get.manual
-rw-rw-r--  1 2        kmem          5517 Apr 30  1984 man/tools/ignore
-rw-rw-r--  1 2        kmem           256 Apr 30  1984 man/tools/list
-rw-rw-r--  1 2        kmem          1774 Apr 30  1984 man/tools/mcmp
-rw-rw-r--  1 2        kmem           416 Apr 30  1984 man/tools/mgrep
-rw-rw-r--  1 2        kmem           818 Apr 30  1984 man/tools/mklinks
-rw-rw-r--  1 2        kmem           493 Apr 30  1984 man/tools/mroff
-rw-rw-r--  1 2        kmem           577 Apr 30  1984 man/tools/pages.c
-rw-rw-r--  1 2        kmem          1473 Apr 30  1984 man/tools/pgcnt
-rw-rw-r--  1 2        kmem           333 Apr 30  1984 man/tools/prnames
-rw-rw-r--  1 2        kmem           473 Apr 30  1984 man/tools/prsynops
-rw-rw-r--  1 2        kmem          1631 Apr 30  1984 man/tools/purge
-rw-rw-r--  1 2        kmem           525 Apr 30  1984 man/tools/rm.so
-rw-rw-r--  1 2        kmem          1638 Apr 30  1984 man/tools/runcks
-rw-rw-r--  1 2        kmem           633 Apr 30  1984 man/tools/tidyman
-rw-rw-r--  1 2        kmem          2155 Apr 30  1984 man/tools/tocrc
drwxrwxr-x  9 2        kmem             0 Apr 30  1984 man/u_man
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 man/u_man/man0
-rw-rw-r--  1 2        kmem         21890 Apr 30  1984 man/u_man/man0/intro
-rw-rw-r--  1 2        kmem          1679 Apr 30  1984 man/u_man/man0/ptxin
-rw-rw-r--  1 2        kmem        233435 Apr 30  1984 man/u_man/man0/ptxx
-rw-rw-r--  1 2        kmem           184 Apr 30  1984 man/u_man/man0/skeleton
-rw-rw-r--  1 2        kmem          7963 Apr 30  1984 man/u_man/man0/toc1
-rw-rw-r--  1 2        kmem          2429 Apr 30  1984 man/u_man/man0/toc2
-rw-rw-r--  1 2        kmem          6336 Apr 30  1984 man/u_man/man0/toc3
-rw-rw-r--  1 2        kmem          1434 Apr 30  1984 man/u_man/man0/toc4
